noteId	internalNoteIntercept	internalNoteFactor1	scorerName	lowDiligenceNoteIntercept	lowDiligenceNoteFactor1	lowDiligenceNoteInterceptRound2	harassmentNoteIntercept	harassmentNoteFactor1
1778862611938873521	0.084902085	0.5984106	MFCoreScorer	4.6952395e-05	-2.1599622	0.6685564	0.008360387	-1.050545
1791933561550868642	0.14817655	-0.7708402	MFCoreScorer	0.7475179	1.2308469	1.7920985	-0.04598454	1.0276629
1816879736012046734	0.13696016	0.7573237	MFCoreScorer	0.18175353	-2.1684473	0.5502225	-0.3198616	-2.4426615
1819769672746832166	-0.03849803	0.36999232	MFCoreScorer	0.1280331	-2.1967266	2.425103	0.014095099	-1.3142593
1841836942691815767	0.06718464	0.6590464	MFCoreScorer	0.26129895	-1.8867475	0.73307776	0.23207992	-2.7189064
1879175438590759420	0.13735683	0.5893116	MFCoreScorer	-0.09942463	-0.35962856	-2.8358002	-0.42732075	-0.642564
1894167464017367250	0.5214672	-0.41090712	MFCoreScorer	1.3024904	1.2302225	0.6284132	-0.8590354	1.6581197
1909264975949914150	0.12290196	0.6069767	MFCoreScorer	0.50950736	-0.8193969	1.0596904	-0.14935483	-1.5079913
1923169997066817802	0.13779752	0.6975211	MFCoreScorer	0.6463517	-1.5477514	1.388751	-0.08941442	-1.8676485
1966014585871184202	0.116234824	0.70414656	MFCoreScorer	1.186646	-2.0630934	2.2853484	0.06556189	-2.2211933
1678986069826732032	0.57691807	-0.31266478	MFCoreScorer	0.37881446	5.1214795	-1.0365317	-1.1819875	1.8930955
1681274040965828608	0.44833848	-0.8509005	MFCoreScorer	0.023122828	6.422333	-2.1553726	-0.5638287	3.8504865
1682305392720879616	0.561438	-0.28197995	MFCoreScorer	0.030999228	3.2820547	-1.8499072	-0.7819632	1.6716244
1682808695623938050	0.6042986	-0.27143064	MFCoreScorer	-0.18052241	3.7724721	-3.504313	-1.0505443	2.7220588
1797798058195140824	0.038840882	0.8588755	MFCoreScorer	1.0846894	-1.7367505	1.2553542	-0.1887846	-1.8686652
1840185530174321076	0.577932	-0.42345172	MFCoreScorer	-0.5195111	4.5142264	-5.498781	-1.5728852	3.3506336
1920978949334782331	0.5702056	-0.3980551	MFCoreScorer	-0.26244372	3.838062	-3.458552	-1.5411274	2.6899981
1930834540471472467	-0.18810827	0.20616803	MFCoreScorer	1.0086412	-1.689284	1.6552291	0.3004628	-2.3630471
1992869789157716108	0.31505048	-1.016071	MFCoreScorer	0.10845424	5.0950484	-1.2021586	0.66162103	3.4023361
1994352821706387523	0.5662001	-0.42281365	MFCoreScorer	-0.23175356	3.693741	-3.1770227	-1.2636414	2.435499
1994639686481154105	0.5614392	-0.41204602	MFCoreScorer	-0.29096466	3.2861238	-3.688482	-0.8857589	2.39438
1998661675541770353	0.48611557	-0.69024605	MFCoreScorer	0.16524293	4.5082455	-1.2902153	-0.5189859	3.2764895
1844157597802262825	0.18263297	-0.331629	MFCoreScorer	0.45727083	0.7493579	1.6809016	0.027263999	0.5448707
1856266275120415022	-0.04080013	0.5231436	MFCoreScorer	0.0053319694	-1.972978	0.7447534	0.014358889	-1.0145992
1866943555723464744	0.46876174	-0.35272437	MFCoreScorer	-0.20168342	2.3357868	-2.4701204	-0.65399086	1.7413566
1874864058249408513	0.27012756	0.49090904	MFCoreScorer	0.22990671	-1.1891108	-1.2620696	-0.5560729	-1.3950667
1876945959260709323	0.35973254	-0.5360416	MFCoreScorer	-0.1460768	2.458741	-2.0316193	-0.519594	1.6403413
1879507459187872038	0.20781353	-0.71140444	MFCoreScorer	0.02393625	1.9366843	-0.33703232	-0.09161375	1.1669824
